"name";"key";"decimalLongitude";"decimalLatitude";"country"
"Protea.laurifolia";1212015147;19.10114;-33.62931;"South Africa"
"Protea.laurifolia";1212015363;19.04115;-31.373;"South Africa"
"Protea.laurifolia";1212015345;19.04115;-31.373;"South Africa"
"Protea.laurifolia";1212015372;19.04115;-31.373;"South Africa"
"Protea.laurifolia";685238754;18.875;-33.625;"South Africa"
"Protea.laurifolia";699269103;19.157;-32.6357;"South Africa"
"Protea.laurifolia";699269110;18.9916;-32.13538;"South Africa"
"Protea.laurifolia";462191010;19.625;-32.875;"South Africa"
"Protea.laurifolia";462191008;18.625;-33.125;"South Africa"
"Protea.laurifolia";329093724;22.875;-33.625;"South Africa"
"Protea.laurifolia";462191007;19.375;-32.375;"South Africa"
"Protea.laurifolia";462191006;19.375;-32.875;"South Africa"
"Protea.laurifolia";462191137;19.125;-31.625;"South Africa"
"Protea.laurifolia";462191138;19.125;-31.625;"South Africa"
"Protea.laurifolia";462191002;19.625;-33.875;"South Africa"
"Protea.laurifolia";462191003;19.625;-33.875;"South Africa"
"Protea.laurifolia";462190992;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191061;19.125;-32.625;"South Africa"
"Protea.laurifolia";462191004;20.625;-33.375;"South Africa"
"Protea.laurifolia";462190989;19.125;-31.875;"South Africa"
"Protea.laurifolia";462191050;19.125;-31.875;"South Africa"
"Protea.laurifolia";462191051;19.125;-31.875;"South Africa"
"Protea.laurifolia";462190990;19.875;-33.875;"South Africa"
"Protea.laurifolia";462191027;19.875;-33.875;"South Africa"
"Protea.laurifolia";462191089;19.625;-33.875;"South Africa"
"Protea.laurifolia";462190988;19.625;-32.875;"South Africa"
"Protea.laurifolia";462190993;18.875;-33.125;"South Africa"
"Protea.laurifolia";462191132;18.875;-33.125;"South Africa"
"Protea.laurifolia";462191001;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191156;19.625;-33.625;"South Africa"
"Protea.laurifolia";462190986;19.625;-33.625;"South Africa"
"Protea.laurifolia";462190987;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190984;19.125;-32.375;"South Africa"
"Protea.laurifolia";462191072;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190985;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191005;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191153;18.875;-33.625;"South Africa"
"Protea.laurifolia";1261439295;19.28333;-33.96666;"South Africa"
"Protea.laurifolia";462191084;20.625;-33.375;"South Africa"
"Protea.laurifolia";462190998;20.625;-33.375;"South Africa"
"Protea.laurifolia";462190978;19.375;-33.125;"South Africa"
"Protea.laurifolia";462190974;19.625;-33.625;"South Africa"
"Protea.laurifolia";462190975;20.375;-33.375;"South Africa"
"Protea.laurifolia";462190980;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190977;19.375;-33.375;"South Africa"
"Protea.laurifolia";462190976;19.375;-32.875;"South Africa"
"Protea.laurifolia";462190979;18.875;-32.625;"South Africa"
"Protea.laurifolia";462190981;19.625;-33.875;"South Africa"
"Protea.laurifolia";1261438841;18.71666;-32.11666;"South Africa"
"Protea.laurifolia";1261439464;19.08333;-32.65;"South Africa"
"Protea.laurifolia";1261439117;19.3;-32.71666;"South Africa"
"Protea.laurifolia";1261439208;18.51666;-32.11666;"South Africa"
"Protea.laurifolia";462191101;19.875;-33.625;"South Africa"
"Protea.laurifolia";1261439360;18.93333;-32.15;"South Africa"
"Protea.laurifolia";1261438947;18.86666;-32.41666;"South Africa"
"Protea.laurifolia";1261439374;18.93333;-32.15;"South Africa"
"Protea.laurifolia";1261439211;18.45;-34.01666;"South Africa"
"Protea.laurifolia";462191103;19.125;-33.375;"South Africa"
"Protea.laurifolia";462190973;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191000;19.125;-32.125;"South Africa"
"Protea.laurifolia";462190997;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191104;20.625;-33.375;"South Africa"
"Protea.laurifolia";462190982;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191155;18.875;-31.125;"South Africa"
"Protea.laurifolia";462190972;18.875;-31.125;"South Africa"
"Protea.laurifolia";462191071;18.875;-33.625;"South Africa"
"Protea.laurifolia";462190967;18.875;-33.875;"South Africa"
"Protea.laurifolia";462191087;18.875;-33.875;"South Africa"
"Protea.laurifolia";462191067;18.875;-33.875;"South Africa"
"Protea.laurifolia";462190968;20.625;-33.625;"South Africa"
"Protea.laurifolia";462191098;20.875;-34.375;"South Africa"
"Protea.laurifolia";462191082;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191029;19.375;-33.625;"South Africa"
"Protea.laurifolia";462191053;19.625;-33.625;"South Africa"
"Protea.laurifolia";462191112;19.625;-33.625;"South Africa"
"Protea.laurifolia";462191057;19.625;-33.625;"South Africa"
"Protea.laurifolia";462191147;19.625;-33.625;"South Africa"
"Protea.laurifolia";462190966;19.625;-33.625;"South Africa"
"Protea.laurifolia";462190965;19.625;-33.625;"South Africa"
"Protea.laurifolia";462191159;19.625;-33.625;"South Africa"
"Protea.laurifolia";462191062;18.875;-34.125;"South Africa"
"Protea.laurifolia";462191133;19.125;-32.875;"South Africa"
"Protea.laurifolia";462190957;18.875;-32.375;"South Africa"
"Protea.laurifolia";462191044;19.125;-32.625;"South Africa"
"Protea.laurifolia";462190960;19.125;-33.125;"South Africa"
"Protea.laurifolia";462191134;18.875;-32.375;"South Africa"
"Protea.laurifolia";462191096;19.125;-32.625;"South Africa"
"Protea.laurifolia";462191108;19.375;-33.125;"South Africa"
"Protea.laurifolia";462191074;18.875;-34.375;"South Africa"
"Protea.laurifolia";462191152;19.125;-32.625;"South Africa"
"Protea.laurifolia";462190958;18.875;-32.375;"South Africa"
"Protea.laurifolia";462191079;19.125;-33.125;"South Africa"
"Protea.laurifolia";462190962;18.875;-33.875;"South Africa"
"Protea.laurifolia";462191088;18.875;-33.875;"South Africa"
"Protea.laurifolia";462191162;18.625;-32.125;"South Africa"
"Protea.laurifolia";462190950;18.625;-31.125;"South Africa"
"Protea.laurifolia";462190951;18.625;-31.125;"South Africa"
"Protea.laurifolia";462190959;21.875;-34.125;"South Africa"
"Protea.laurifolia";462191146;21.875;-33.875;"South Africa"
"Protea.laurifolia";462190956;18.875;-31.625;"South Africa"
"Protea.laurifolia";462190964;19.375;-32.375;"South Africa"
"Protea.laurifolia";462190963;19.125;-31.875;"South Africa"
"Protea.laurifolia";462191042;21.125;-33.875;"South Africa"
"Protea.laurifolia";462191077;19.125;-31.875;"South Africa"
"Protea.laurifolia";462191135;19.125;-32.375;"South Africa"
"Protea.laurifolia";462191011;18.875;-31.625;"South Africa"
"Protea.laurifolia";462191092;21.125;-33.875;"South Africa"
"Protea.laurifolia";462190955;19.125;-32.375;"South Africa"
"Protea.laurifolia";462191083;19.375;-32.375;"South Africa"
"Protea.laurifolia";462191085;19.125;-32.125;"South Africa"
"Protea.laurifolia";462190961;18.875;-33.875;"South Africa"
"Protea.laurifolia";462190949;19.375;-33.125;"South Africa"
"Protea.laurifolia";462191116;19.375;-33.125;"South Africa"
"Protea.laurifolia";462191086;18.875;-33.875;"South Africa"
"Protea.laurifolia";462190948;19.375;-31.625;"South Africa"
"Protea.laurifolia";462191054;19.375;-32.625;"South Africa"
"Protea.laurifolia";462190999;19.125;-33.125;"South Africa"
"Protea.laurifolia";462190952;18.375;-33.375;"South Africa"
"Protea.laurifolia";462191066;19.375;-33.125;"South Africa"
"Protea.laurifolia";462190953;19.375;-33.375;"South Africa"
"Protea.laurifolia";462190905;19.375;-33.875;"South Africa"
"Protea.laurifolia";462190904;19.375;-33.875;"South Africa"
"Protea.laurifolia";462191078;19.625;-33.875;"South Africa"
"Protea.laurifolia";462190893;19.625;-33.875;"South Africa"
"Protea.laurifolia";462191060;19.625;-33.875;"South Africa"
"Protea.laurifolia";462191076;18.875;-31.625;"South Africa"
"Protea.laurifolia";462191081;19.625;-33.875;"South Africa"
"Protea.laurifolia";462191059;19.125;-33.875;"South Africa"
"Protea.laurifolia";462190944;18.875;-31.875;"South Africa"
"Protea.laurifolia";462190903;19.125;-33.875;"South Africa"
"Protea.laurifolia";462191093;18.875;-32.375;"South Africa"
"Protea.laurifolia";462190899;18.875;-31.375;"South Africa"
"Protea.laurifolia";462191052;18.375;-33.875;"South Africa"
"Protea.laurifolia";462190911;19.125;-33.875;"South Africa"
"Protea.laurifolia";462191141;19.125;-33.875;"South Africa"
"Protea.laurifolia";462190994;19.125;-33.875;"South Africa"
"Protea.laurifolia";462190983;18.625;-31.875;"South Africa"
"Protea.laurifolia";462190924;19.375;-31.375;"South Africa"
"Protea.laurifolia";462191019;19.625;-33.875;"South Africa"
"Protea.laurifolia";462191043;19.375;-33.375;"South Africa"
"Protea.laurifolia";462190896;19.375;-33.375;"South Africa"
"Protea.laurifolia";462191151;20.875;-33.125;"South Africa"
"Protea.laurifolia";462191100;22.125;-33.625;"South Africa"
"Protea.laurifolia";462190995;19.125;-33.375;"South Africa"
"Protea.laurifolia";462190926;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190927;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190933;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191136;18.875;-32.125;"South Africa"
"Protea.laurifolia";462190940;19.125;-32.125;"South Africa"
"Protea.laurifolia";462191115;19.125;-33.375;"South Africa"
"Protea.laurifolia";462190996;20.125;-33.625;"South Africa"
"Protea.laurifolia";462191009;19.625;-33.125;"South Africa"
"Protea.laurifolia";462191014;19.375;-33.875;"South Africa"
"Protea.laurifolia";462191158;19.375;-33.375;"South Africa"
"Protea.laurifolia";462191037;19.375;-33.375;"South Africa"
"Protea.laurifolia";462191058;18.875;-32.125;"South Africa"
"Protea.laurifolia";462190946;19.375;-33.375;"South Africa"
"Protea.laurifolia";462190947;19.375;-33.375;"South Africa"
"Protea.laurifolia";462191150;22.125;-33.625;"South Africa"
"Protea.laurifolia";462191106;22.125;-33.625;"South Africa"
"Protea.laurifolia";462191047;18.625;-31.875;"South Africa"
"Protea.laurifolia";462191073;19.375;-32.375;"South Africa"
"Protea.laurifolia";462191145;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191069;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191035;19.125;-33.625;"South Africa"
"Protea.laurifolia";462190930;18.875;-33.625;"South Africa"
"Protea.laurifolia";462191102;22.125;-33.625;"South Africa"
"Protea.laurifolia";462190936;18.875;-33.625;"South Africa"
"Protea.laurifolia";462190901;19.125;-33.875;"South Africa"
"Protea.laurifolia";462191160;19.125;-33.875;"South Africa"
"Protea.laurifolia";462191114;18.875;-32.125;"South Africa"
"Protea.laurifolia";462191113;18.875;-32.125;"South Africa"
"Protea.laurifolia";462190928;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191070;19.125;-33.375;"South Africa"
"Protea.laurifolia";462190891;18.875;-33.625;"South Africa"
"Protea.laurifolia";462191028;18.875;-33.625;"South Africa"
"Protea.laurifolia";462191030;19.875;-33.375;"South Africa"
"Protea.laurifolia";462191031;19.875;-33.375;"South Africa"
"Protea.laurifolia";462191120;18.875;-32.125;"South Africa"
"Protea.laurifolia";462190910;19.375;-33.375;"South Africa"
"Protea.laurifolia";462190922;19.375;-33.625;"South Africa"
"Protea.laurifolia";462191099;19.375;-33.625;"South Africa"
"Protea.laurifolia";462190932;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191105;18.875;-33.125;"South Africa"
"Protea.laurifolia";462191032;18.375;-32.625;"South Africa"
"Protea.laurifolia";462191033;18.375;-32.625;"South Africa"
"Protea.laurifolia";462191144;18.375;-32.625;"South Africa"
"Protea.laurifolia";462190921;19.375;-33.625;"South Africa"
"Protea.laurifolia";462191018;19.875;-33.625;"South Africa"
"Protea.laurifolia";462191131;20.125;-33.875;"South Africa"
"Protea.laurifolia";462191017;19.875;-33.625;"South Africa"
"Protea.laurifolia";462191024;18.875;-33.375;"South Africa"
"Protea.laurifolia";462191023;18.875;-33.375;"South Africa"
"Protea.laurifolia";462191022;19.125;-33.125;"South Africa"
"Protea.laurifolia";462191020;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191025;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191026;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191128;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191129;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191127;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191111;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190918;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191117;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191016;18.875;-32.125;"South Africa"
"Protea.laurifolia";685238746;19.375;-33.875;"South Africa"
"Protea.laurifolia";462191041;20.375;-33.375;"South Africa"
"Protea.laurifolia";462191040;20.375;-33.375;"South Africa"
"Protea.laurifolia";462191118;19.125;-33.875;"South Africa"
"Protea.laurifolia";462191056;20.625;-34.375;"South Africa"
"Protea.laurifolia";462191126;19.125;-32.125;"South Africa"
"Protea.laurifolia";462191125;19.125;-32.125;"South Africa"
"Protea.laurifolia";462191140;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191139;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191021;19.375;-33.375;"South Africa"
"Protea.laurifolia";462191130;19.125;-33.625;"South Africa"
"Protea.laurifolia";462190943;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191119;18.875;-32.125;"South Africa"
"Protea.laurifolia";462191063;19.125;-32.125;"South Africa"
"Protea.laurifolia";462191122;19.375;-31.875;"South Africa"
"Protea.laurifolia";462191107;19.375;-31.625;"South Africa"
"Protea.laurifolia";462191068;20.125;-33.125;"South Africa"
"Protea.laurifolia";462191046;18.875;-32.625;"South Africa"
"Protea.laurifolia";462191015;19.125;-33.125;"South Africa"
"Protea.laurifolia";462190935;19.125;-31.375;"South Africa"
"Protea.laurifolia";685238750;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191055;19.125;-33.125;"South Africa"
"Protea.laurifolia";462190894;19.125;-33.625;"South Africa"
"Protea.laurifolia";685238751;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191012;19.125;-33.125;"South Africa"
"Protea.laurifolia";462191091;20.125;-33.125;"South Africa"
"Protea.laurifolia";462191039;20.125;-33.125;"South Africa"
"Protea.laurifolia";462191109;19.125;-32.125;"South Africa"
"Protea.laurifolia";462191154;19.125;-32.125;"South Africa"
"Protea.laurifolia";685238749;19.875;-33.625;"South Africa"
"Protea.laurifolia";462191049;20.375;-33.625;"South Africa"
"Protea.laurifolia";462191142;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191097;19.875;-34.125;"South Africa"
"Protea.laurifolia";462191048;19.125;-33.625;"South Africa"
"Protea.laurifolia";462191064;19.375;-33.375;"South Africa"
"Protea.laurifolia";462191034;19.875;-33.875;"South Africa"
"Protea.laurifolia";462191013;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191124;18.875;-32.125;"South Africa"
"Protea.laurifolia";462190931;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191143;26.875;-32.625;"South Africa"
"Protea.laurifolia";462191148;19.375;-33.375;"South Africa"
"Protea.laurifolia";462190895;18.875;-32.125;"South Africa"
"Protea.laurifolia";462191095;19.375;-33.125;"South Africa"
"Protea.laurifolia";462190934;20.875;-33.125;"South Africa"
"Protea.laurifolia";462191080;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190915;19.125;-33.875;"South Africa"
"Protea.laurifolia";462191110;19.875;-33.375;"South Africa"
"Protea.laurifolia";462190892;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190919;19.375;-33.625;"South Africa"
"Protea.laurifolia";462191161;19.375;-33.375;"South Africa"
"Protea.laurifolia";462191090;19.125;-32.375;"South Africa"
"Protea.laurifolia";462190917;20.125;-33.875;"South Africa"
"Protea.laurifolia";462191094;19.125;-33.375;"South Africa"
"Protea.laurifolia";462190929;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191149;19.625;-33.125;"South Africa"
"Protea.laurifolia";462190907;19.625;-33.375;"South Africa"
"Protea.laurifolia";462190938;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191045;19.125;-33.375;"South Africa"
"Protea.laurifolia";462190991;19.125;-33.375;"South Africa"
"Protea.laurifolia";685238752;18.375;-34.125;"South Africa"
"Protea.laurifolia";685238745;19.125;-33.875;"South Africa"
"Protea.laurifolia";685238744;19.125;-33.875;"South Africa"
"Protea.laurifolia";685238742;19.125;-34.375;"South Africa"
"Protea.laurifolia";685238748;18.625;-31.875;"South Africa"
"Protea.laurifolia";462190898;18.625;-31.875;"South Africa"
"Protea.laurifolia";462191123;19.625;-33.375;"South Africa"
"Protea.laurifolia";462190916;19.375;-33.875;"South Africa"
"Protea.laurifolia";462190897;20.625;-33.125;"South Africa"
"Protea.laurifolia";462190900;18.875;-32.375;"South Africa"
"Protea.laurifolia";462190913;18.875;-33.625;"South Africa"
"Protea.laurifolia";462191065;19.625;-33.375;"South Africa"
"Protea.laurifolia";462191157;18.625;-31.875;"South Africa"
"Protea.laurifolia";462190909;19.375;-33.625;"South Africa"
"Protea.laurifolia";685238741;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191038;19.125;-33.625;"South Africa"
"Protea.laurifolia";462190906;18.875;-33.625;"South Africa"
"Protea.laurifolia";462190925;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191121;19.375;-33.625;"South Africa"
"Protea.laurifolia";1007235154;19.33;-33.87;"South Africa"
"Protea.laurifolia";462190914;19.125;-33.125;"South Africa"
"Protea.laurifolia";462190937;18.875;-33.625;"South Africa"
"Protea.laurifolia";462190939;18.875;-32.625;"South Africa"
"Protea.laurifolia";462191036;18.875;-33.875;"South Africa"
"Protea.laurifolia";1007050081;19.33;-33.87;"South Africa"
"Protea.laurifolia";462191075;19.375;-33.625;"South Africa"
