gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3913433301	e9484ac9-4459-47e0-ba62-9c88b8ef031a	http://mus.utu.fi/MY.12292365	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Saari-Kaukola, Tuhkamäki	Kanta-Häme	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	60.746323	23.841208	5.0						2022-06-04T00:00:00	4	6	2022	2673718	2673718	PRESERVED_SPECIMEN			http://mus.utu.fi/TBR.102605		Pihlaja, Kati		CC0_1_0		Metsänoja, Sari			2022-12-16T13:46:02.826Z		
3891618510	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.12211446	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kiiminki	Pohjois-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.145152	25.846448	100.0						1985-06-16T00:00:00	16	6	1985	2673718	2673718	HUMAN_OBSERVATION			http://id.herb.oulu.fi/GAL.13690				CC_BY_4_0		Ohenoja, Martti			2022-12-16T00:47:20.461Z		
3891618457	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.12211376	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kiiminki	Pohjois-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.144289	25.850749	100.0						2009-06-09T00:00:00	9	6	2009	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.13680				CC_BY_4_0		Ohenoja, Esteri			2022-12-16T00:47:20.281Z		
3891618356	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.12211392	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Itämäki	Pohjois-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.141771	26.607232	100.0						1996-06-07T00:00:00	7	6	1996	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.13681				CC_BY_4_0		Ulvinen, Tauno			2022-12-16T00:47:20.193Z		
3891618332	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.12211419	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kiiminki	Pohjois-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.122692	25.964559	100.0						1992-05-28T00:00:00	28	5	1992	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.13684		Ulvinen, Tauno		CC_BY_4_0		Virtanen, Risto			2022-12-16T00:47:20.416Z		
3891618322	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.12211415	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kiiminki	Pohjois-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.145152	25.846448	100.0						1985-06-16T00:00:00	16	6	1985	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.13683		Ohenoja, Martti		CC_BY_4_0		Ohenoja, Martti			2022-12-16T00:47:20.412Z		
3891618311	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.12211405	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Itämäki	Pohjois-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.142634	26.594895	100.0						1996-06-07T00:00:00	7	6	1996	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.13682				CC_BY_4_0		Ulvinen, Tauno			2022-12-16T00:47:20.398Z		
3768007537	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:98637009	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon	(Wahlenb.) Schwägr.	SE	Blåberget, Lu lm	Lule lappmark	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	66.33851	20.71493	150.0						1996-08-18T00:00:00	18	8	1996	2673718	2673718	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	98637009				CC0_1_0	Mats Nordin	Mats Nordin			2022-11-25T03:54:17.797Z		
3713297682	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.10134238	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Pisavaara	Lappi	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	66.245616	25.033394	100.0						1989-06-07T00:00:00	7	6	1989	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.7899				CC_BY_4_0		Halonen, Pekka;Virtanen, Risto			2022-12-16T00:47:26.477Z		
3713297250	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.7191819	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Sihtuuna	Lappi	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	66.225788	24.470237	100.0						1986-06-10T00:00:00	10	6	1986	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.6051				CC_BY_4_0		Hanhela, Pentti;Ohenoja, Esteri			2022-12-16T00:47:26.398Z		
3713297221	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.7191808	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kälviä, Ruotsalo, Puurola	Keski-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	63.886567	23.393393	100.0						1985-07-18T00:00:00	18	7	1985	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.6049				CC_BY_4_0		Mansikkamäki, Paavo			2022-12-16T00:47:26.393Z		
3713283609	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.8127592	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kaskhusfjärden	Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	63.769512	22.991253	1000.0						1980-05-01T00:00:00	1	5	1980	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/0039888		Ulvinen, Tauno		CC_BY_4_0		Storbacka, Rolf			2022-12-16T00:47:23.378Z		
3713283600	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.8127588	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kaskhusfjärden	Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	63.769512	22.99125	1000.0						1980-06-06T00:00:00	6	6	1980	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/0038448		Ulvinen, Tauno		CC_BY_4_0		Storbacka, Rolf			2022-12-16T00:47:23.375Z		
3713270058	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.3488012	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Pilpaselkä	Pohjois-Pohjanmaa	PRESENT	200	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.982474	25.756748	10.0						1998-05-31T00:00:00	31	5	1998	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/0046061				CC_BY_4_0		Väre, Henry			2022-12-16T00:47:20.176Z		
3713267520	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11325964	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kälviä. Kouri	Keski-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	63.879809	23.41056	100.0						1987-06-23T00:00:00	23	6	1987	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9964		Ulvinen, Tauno		CC_BY_4_0		Mansikkamäki, Paavo			2022-12-16T00:47:19.687Z		
3713267508	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11325974	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kälviä. Kouri	Keski-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	63.879759	23.408529	100.0						1987-06-07T00:00:00	7	6	1987	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9965		Ulvinen, Tauno		CC_BY_4_0		Mansikkamäki, Paavo			2022-12-16T00:47:19.686Z		
3713267506	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11325978	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kälviä. Kouri	Keski-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	63.879759	23.408529	100.0						1987-06-07T00:00:00	7	6	1987	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9966		Ulvinen, Tauno		CC_BY_4_0		Mansikkamäki, Paavo			2022-12-16T00:47:19.685Z		
3713267487	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11325986	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kalkkimaa	Lappi	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.901964	24.478081	100.0						1996-06-13T00:00:00	13	6	1996	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9968				CC_BY_4_0		Ulvinen, Tauno			2022-12-16T00:47:19.684Z		
3713267467	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11325996	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Ilmola. Perämaa	Lappi	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.839749	24.746978	100.0						1988-06-22T00:00:00	22	6	1988	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9969		Ulvinen, Tauno		CC_BY_4_0		Tammilehto, Veikko			2022-12-16T00:47:19.680Z		
3713264955	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11326014	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI		Lappi	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	66.677366	24.268136	6.0						2009-06-13T00:00:00	13	6	2009	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9972				CC_BY_4_0		Juutinen, Riikka			2022-12-16T00:47:19.158Z		FOOTPRINT_WKT_MISMATCH
3713264951	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11326018	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Kalkkimaa	Lappi	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.901892	24.473697	100.0						1987-06-19T00:00:00	19	6	1987	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9973				CC_BY_4_0		Ylimartimo, Anneli;Bendiksen, Egil;Metsänheimo, Katriina			2022-12-16T00:47:19.157Z		
3713264919	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11326028	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Liikasenvaara. Nurmisaarenrinne	Pohjois-Pohjanmaa	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	66.353385	29.463414	100.0						1988-06-13T00:00:00	13	6	1988	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9974				CC_BY_4_0		Ulvinen, Tauno			2022-12-16T00:47:19.153Z		
3713264720	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11326007	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI	Koutusjärvi	Lappi	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	66.650706	24.296821	6.0						2009-06-11T00:00:00	11	6	2009	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9971				CC_BY_4_0		Juutinen, Riikka			2022-12-16T00:47:19.110Z		FOOTPRINT_WKT_MISMATCH
3713264706	711eec60-9b0d-42bc-9610-56604e0d7bd8	http://id.herb.oulu.fi/MY.11326000	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon		FI		Lappi	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.902808	24.420914	100.0						1987-06-12T00:00:00	12	6	1987	2673718	2673718	PRESERVED_SPECIMEN			http://id.herb.oulu.fi/GAL.9970		Ohenoja, M.		CC_BY_4_0		Ohenoja, Esteri			2022-12-16T00:47:19.107Z		
3434164552	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:93762101	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon	(Wahlenb.) Schwägr.	SE	Holmö kyrkväg 55, Holmö by, Holmöarna, Vb	Västerbotten	PRESENT	10	b8323864-602a-4a7d-9127-bb903054e97d	63.79768	20.869	50.0						2021-05-25T00:00:00	25	5	2021	2673718	2673718	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	93762101				CC0_1_0	Per Hansson	Per Hansson			2022-11-25T03:56:05.313Z	StillImage	
3431997329	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:7185099	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon	(Wahlenb.) Schwägr.	SE	Långåker, 200 m S om, 3 km NV om Växtholm, Vb	Västerbotten	ABSENT		b8323864-602a-4a7d-9127-bb903054e97d	64.0321	20.33065	100.0						2003-06-13T00:00:00	13	6	2003	2673718	2673718	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	7185099				CC0_1_0	Niklas Lönnell	Niklas Lönnell, Kristoffer Hylander			2022-11-25T03:55:13.967Z		
3431968328	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:7185098	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon	(Wahlenb.) Schwägr.	SE	Växtholm, N om nordligaste åkern, Vb	Västerbotten	ABSENT		b8323864-602a-4a7d-9127-bb903054e97d	64.02706	20.37698	100.0						2003-06-13T00:00:00	13	6	2003	2673718	2673718	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	7185098				CC0_1_0	Niklas Lönnell	Niklas Lönnell, Kristoffer Hylander			2022-11-25T03:46:38.655Z		
3431679332	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:7185080	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon	(Wahlenb.) Schwägr.	SE	Långåker, 200 m S om, 3 km NV om Växtholm		ABSENT		b8323864-602a-4a7d-9127-bb903054e97d	64.0321	20.33065	100.0						2003-06-13T00:00:00	13	6	2003	2673718	2673718	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	7185080				CC0_1_0	SLU ArtDatabanken	Niklas Lönnell, Kristoffer Hylander			2022-11-25T03:52:29.337Z		
3431604344	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:7185079	Plantae	Bryophyta	Bryopsida	Funariales	Splachnaceae	Splachnum	Splachnum melanocaulon		SPECIES	Splachnum melanocaulon Schwaegrichen, 1823	Splachnum melanocaulon	(Wahlenb.) Schwägr.	SE	Växtholm, N om nordligaste åkern		ABSENT		b8323864-602a-4a7d-9127-bb903054e97d	64.02706	20.37698	100.0						2003-06-13T00:00:00	13	6	2003	2673718	2673718	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	7185079				CC0_1_0	SLU ArtDatabanken	Niklas Lönnell, Kristoffer Hylander			2022-11-25T03:54:18.224Z		
